Year,BasePairs,Entries
1982,680338,606
1983,2274029,2427
1984,3689752,4393
1985,5204420,5700
1986,9615371,9978
1987,16752872,15465
1988,24690876,21248
1989,37183950,31229
1990,51306092,41057
1991,77337678,58952
1992,120242234,97084
1993,163802597,150744
1994,230485928,237775
1995,425860958,620765
1996,730552938,1114581
1997,1258290513,1891953
1998,2162067871,3043729
1999,4653932745,5354511
2000,11101066288,10106023
2001,15849921438,14976310
2002,28507990166,22318883
2003,36553368485,30968418
2004,44575745176,40604319
2005,56037734462,52016762
2006,69019290705,64893747
2007,83874179730,80388382
2008,99116431942,98868465
2009,1.10119E+11,112910950
2010,1.17477E+11,122941883
